isbn,book_name,author,publisher,publication_date,price,stock,category_id,img_link,description,rank_num
"9788925588735","프로젝트 헤일메리","앤디 위어 지음, 강동혁 옮김","알에이치코리아(RHK)","2021-05-04",22000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788925588735.jpg","소설/시/희곡",1
"9791190738705","왕과 사는 남자 각본집","황성구.장항준 지음","플레인아카이브","2026-04-09",18000,10,7,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791190738705.jpg","예술/대중문화",2
"9791194530701","괴테는 모든 것을 말했다","스즈키 유이 지음, 이지수 옮김","리프","2025-11-18",17000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194530701.jpg","소설/시/희곡",3
"9791124248171","인생을 위한 최소한의 생각","신영준.고영성 지음","상상스퀘어","2026-02-25",19800,10,5,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791124248171.jpg","인문학",4
"9788925588650","마션","앤디 위어 지음, 박아람 옮김","알에이치코리아(RHK)","2021-05-04",19800,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788925588650.jpg","소설/시/희곡",5
"9788925588711","아르테미스","앤디 위어 지음, 남명성 옮김","알에이치코리아(RHK)","2021-05-04",19800,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788925588711.jpg","소설/시/희곡",6
"9791194184560","엄마와 딸들의 미친년의 역사","이랑 지음","이야기장수","2026-03-12",17800,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194184560.jpg","에세이",7
"9791199383074","완벽한 원시인","자청 지음","필로틱","2026-03-11",22000,10,5,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199383074.jpg","인문학",8
"9791192738758","아리스가와 아리스에게 바치는 일곱 가지 수수께끼","아오사키 유고 외 지음, 김선영 옮김","리드비","2026-03-25",18500,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791192738758.jpg","소설/시/희곡",9
"9791199496651","부처님 말씀대로 살아보니","토니 페르난도 지음, 강정선 옮김","윌마","2026-02-20",18900,10,2,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199496651.jpg","자기계발",10
"9791187232629","사랑이 있으니 살아집디다","유시민.김세라 지음","은빛","2026-03-25",18000,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791187232629.jpg","에세이",11
"9791199489530","무례한 세상에서 나를 지키는 법","발타사르 그라시안 지음, 하와이 대저택 편역","논픽션","2026-03-13",19800,10,2,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199489530.jpg","자기계발",12
"9788998441012","모순","양귀자 지음","쓰다","2013-04-01",13000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788998441012.jpg","소설/시/희곡",13
"9791171715503","죽은 왕녀를 위한 파반느 (양장 특별판)","박민규 지음","위즈덤하우스","2025-11-19",20000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791171715503.jpg","소설/시/희곡",14
"9791194278184","내 가게에 부모님을 고용했습니다","최윤선 지음","파이퍼프레스","2026-03-18",19000,10,10,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194278184.jpg","에세이",15
"9791142345692","3월의 벽력 1","이케 준코 지음","대원씨아이(만화)","2026-03-16",6000,10,6,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791142345692.jpg","만화/라이트노벨",16
"9788937460586","싯다르타","헤르만 헤세 지음, 박병덕 옮김","민음사","2002-01-20",8000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460586.jpg","소설/시/희곡",17
"9791173578410","마법천자문 70","알에스미디어 지음, 정수영 그림, 강용철 감수","아울북","2026-03-18",15900,10,12,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791173578410.jpg","어린이",18
"9791168342941","박곰희 연금 부자 수업","박곰희 지음","인플루엔셜(주)","2025-06-25",21000,10,3,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791168342941.jpg","경제경영",19
"9791175487444","처음 읽는 그리스 로마 신화 14","최설희 지음, 한현동 그림, 정수영 구성","미래엔아이세움","2026-03-30",16800,10,12,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791175487444.jpg","어린이",20
"9791141602376","안녕이라 그랬어","김애란 지음","문학동네","2025-06-20",16800,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791141602376.jpg","소설/시/희곡",21
"9791199305304","자몽살구클럽","한로로 (HANRORO) 지음","어센틱","2025-07-25",12000,10,1,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199305304.jpg","소설/시/희곡",22
"9791141179007","스파이 패밀리 16","엔도 타츠야 지음","학산문화사(만화)","2026-03-12",6000,10,6,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791141179007.jpg","만화/라이트노벨",23
"9788901299532","살찌지 않는 몸","우창윤 지음","웅진지식하우스","2026-03-13",19800,10,13,"https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788901299532.jpg","건강/취미",24
